state,mean income,expenditure_mean,poverty,latitude,longitude
Johor,8517,5342,4.6,1.4927,103.7414
Kedah,5550,3765,9,6.0967,100.3603
Kelantan,4885,3505,13.2,6.1165,102.2369
Melaka,8057,5707,4.2,2.1896,102.2536
Negeri Sembilan,6788,4678,4.4,2.6885,102.234
Pahang,5777,4107,6.3,4.2111,103.302
Penang,8267,5322,2,5.4164,100.3285
Perak,5779,3903,7.5,4.5965,101.0903
Perlis,5664,3834,4,6.4273,100.2049
Selangor,12233,6770,1.5,3.2083304,101.304146
Terengganu,7248,4796,6.2,5.253,103.167
Sabah,6171,3342,19.7,5.9804,116.0734
Sarawak,6457,3915,10.8,1.5534,110.3626
Kuala Lumpur,13325,7823,1.4,3.139,101.6869
Labuan,8250,4176,2.5,5.284,115.2461
Putrajaya,13473,8897,0.1,2.9264,101.6962
